ip_input.c in BSD-derived TCP/IP implementations allows remote attackers to cause a denial of service (crash or hang) via crafted packets.
1. "ip_input.c in BSD-derived TCP/IP implementations" is the Affected Product.
2. "" is the Root Cause.
3. "remote attackers" is the Attacker Type.
4. "cause a denial of service (crash or hang)" is the Impact.
5. "via crafted packets" is the Attacker Vector.
6. "" is the Vulnerability Type.
Buffer overflow in NFS mountd gives root access to remote attackers, mostly in Linux systems.
1. "Buffer overflow" is the Vulnerability Type.
2. "NFS mountd" is the Affected Product.
3. "" is the Root Cause.
4. "root access" is the Impact.
5. "remote attackers" is the Attacker Type.
6. "mostly in Linux systems" is the Attacker Vector.
Execute commands as root via buffer overflow in Tooltalk database server (rpc.ttdbserverd).
1. "Buffer overflow" is the Vulnerability Type.
2. "Tooltalk database server (rpc.ttdbserverd)" is the Affected Product.
3. "Execute commands as root" is the Impact.
4. "" is the Root Cause.
5. "" is the Attacker Type.
6. "" is the Attacker Vector.
MIME buffer overflow in email clients, e.g. Solaris mailtool and Outlook.
1. "MIME buffer overflow" is the Vulnerability Type.
2. "email clients, e.g. Solaris mailtool and Outlook" is the Affected Product.
3. "" is the Root Cause.
4. "" is the Impact.
5. "" is the Attacker Type.
6. "" is the Attacker Vector.
Arbitrary command execution via IMAP buffer overflow in authenticate command.
1. "Buffer overflow" is the Vulnerability Type.
2. "in authenticate command" is the Root Cause.
3. "" is the Affected Product.
4. "arbitrary command execution" is the Impact.
5. "" is the Attacker Type.
6. "via IMAP" is the Attacker Vector.
Buffer overflow in POP servers based on BSD/Qualcomm's qpopper allows remote attackers to gain root access using a long PASS command.
1. "Buffer overflow" is the Vulnerability Type.
2. "POP servers based on BSD/Qualcomm's qpopper" is the Affected Product.
3. "using a long PASS command" is the Attack Vector.
4. "remote attackers" is the Attacker Type.
5. "gain root access" is the Impact.
6. "" is the Root Cause.
Information from SSL-encrypted sessions via PKCS #1.
1. "" is the Vulnerability Type.
2. "" is the Root Cause.
3. "" is the Affected Product.
4. "Information from SSL-encrypted sessions" is the Impact.
5. "" is the Attacker Type.
6. "via PKCS #1" is the Attacker Vector.
Buffer overflow in NIS+, in Sun's rpc.nisd program.
1. "Buffer overflow" is the Vulnerability Type.
2. "NIS+" is the Affected Product.
3. "in Sun's rpc.nisd program" is the Root Cause.
4. "" is the Impact.
5. "" is the Attacker Type.
6. "" is the Attacker Vector.
Inverse query buffer overflow in BIND 4.9 and BIND 8 Releases.
1. "Inverse query buffer overflow" is the Vulnerability Type.
2. "BIND 4.9 and BIND 8 Releases" is the Affected Product.
3. "" is the Root Cause.
4. "" is the Impact.
5. "" is the Attacker Type.
6. "" is the Attacker Vector.
Denial of Service vulnerability in BIND 8 Releases via maliciously formatted DNS messages.
1. "Denial of Service vulnerability" is the Vulnerability Type.
2. "BIND 8 Releases" is the Affected Product.
3. "maliciously formatted DNS messages" is the Root Cause.
4. "Denial of Service" is the Impact.
5. "" is the Attacker Type.
6. "" is the Attacker Vector.
Denial of Service vulnerabilities in BIND 4.9 and BIND 8 Releases via CNAME record and zone transfer.
1. "Denial of Service vulnerabilities" is the Vulnerability Type.
2. "BIND 4.9 and BIND 8 Releases" is the Affected Product.
3. "CNAME record and zone transfer" is the Attack Vector.
4. "denial of service" is the Impact.
5. "" is the Root Cause.
6. "" is the Attacker Type.
Some web servers under Microsoft Windows allow remote attackers to bypass access restrictions for files with long file names.
1. "Some web servers under Microsoft Windows" is the Affected Product.
