Privilege escalation in the MSI repair functionality in Caphyon Advanced Installer 20.0 and below allows attackers to access and manipulate system files.
1. "Privilege escalation" is the Vulnerability Type.
2. "in the MSI repair functionality in Caphyon Advanced Installer 20.0 and below" is the Affected Product.
3. "" is the Root Cause.
4. "access and manipulate system files" is the Impact.
5. "attackers" is the Attacker Type.
6. "" is the Attacker Vector.
A possible security vulnerability has been identified in Apache Kafka Connect. This requires access to a Kafka Connect worker, and the ability to create/modify connectors on it with an arbitrary Kafka client SASL JAAS config and a SASL-based security protocol, which has been possible on Kafka Connect clusters since Apache Kafka 2.3.0. When configuring the connector via the Kafka Connect REST API, an authenticated operator can set the `sasl.jaas.config` property for any of the connector's Kafka clients to ""com.sun.security.auth.module.JndiLoginModule"", which can be done via the `producer.override.sasl.jaas.config`, `consumer.override.sasl.jaas.config`, or `admin.override.sasl.jaas.config` properties. This will allow the server to connect to the attacker's LDAP server and deserialize the LDAP response, which the attacker can use to execute java deserialization gadget chains on the Kafka connect server. Attacker can cause unrestricted deserialization of untrusted data (or) RCE vulnerability when there are gadgets in the classpath. Since Apache Kafka 3.0.0, users are allowed to specify these properties in connector configurations for Kafka Connect clusters running with out-of-the-box configurations. Before Apache Kafka 3.0.0, users may not specify these properties unless the Kafka Connect cluster has been reconfigured with a connector client override policy that permits them. Since Apache Kafka 3.4.0, we have added a system property (""-Dorg.apache.kafka.disallowed.login.modules"") to disable the problematic login modules usage in SASL JAAS configuration. Also by default ""com.sun.security.auth.module.JndiLoginModule"" is disabled in Apache Kafka 3.4.0. We advise the Kafka Connect users to validate connector configurations and only allow trusted JNDI configurations. Also examine connector dependencies for vulnerable versions and either upgrade their connectors, upgrading that specific dependency, or removing the connectors as options for remediation. Finally, in addition to leveraging the ""org.apache.kafka.disallowed.login.modules"" system property, Kafka Connect users can also implement their own connector client config override policy, which can be used to control which Kafka client properties can be overridden directly in a connector config and which cannot.
1. "A possible security vulnerability" is the Vulnerability Type.
2. "Apache Kafka Connect" is the Affected Product.
3. "access to a Kafka Connect worker, and the ability to create/modify connectors on it with an arbitrary Kafka client SASL JAAS config and a SASL-based security protocol" is the Attack Vector.
4. "unrestricted deserialization of untrusted data (or) RCE vulnerability when there are gadgets in the classpath" is the Impact.
5. "authenticated operator" is the Attacker Type.
6. "" is the Root Cause.
hb-ot-layout-gsubgpos.hh in HarfBuzz through 6.0.0 allows attackers to trigger O(n^2) growth via consecutive marks during the process of looking back for base glyphs when attaching marks.
1. "hb-ot-layout-gsubgpos.hh in HarfBuzz through 6.0.0" is the Affected Product.
2. "allow attackers to trigger O(n^2) growth via consecutive marks during the process of looking back for base glyphs when attaching marks" is the Root Cause.
3. "" is the Vulnerability Type.
4. "O(n^2) growth" is the Impact.
5. "attackers" is the Attacker Type.
6. "" is the Attacker Vector.
Wings is Pterodactyl's server control plane. This vulnerability can be used to delete files and directories recursively on the host system. This vulnerability can be combined with `GHSA-p8r3-83r8-jwj5` to overwrite files on the host system. In order to use this exploit, an attacker must have an existing ""server"" allocated and controlled by Wings. This vulnerability has been resolved in version `v1.11.4` of Wings, and has been back-ported to the 1.7 release series in `v1.7.4`. Anyone running `v1.11.x` should upgrade to `v1.11.4` and anyone running `v1.7.x` should upgrade to `v1.7.4`. There are no known workarounds for this issue.
1. "Wings" is the Affected Product.
2. "This vulnerability can be used to delete files and directories recursively on the host system" is the Impact.
3. "" is the Root Cause.
4. "" is the Vulnerability Type.
5. "an attacker must have an existing ""server"" allocated and controlled by Wings" is the Attacker Type.
6. "This vulnerability can be combined with `GHSA-p8r3-83r8-jwj5` to overwrite files on the host system" is the Attacker Vector.
Discourse is an open source discussion platform. In affected versions a malicious user can cause a regular expression denial of service using a carefully crafted git URL. This issue is patched in the latest stable, beta and tests-passed versions of Discourse. Users are advised to upgrade. There are no known workarounds for this issue.
1. "Discourse" is the Affected Product.
2. "a malicious user" is the Attacker Type.
3. "cause a regular expression denial of service using a carefully crafted git URL" is the Impact.
4. "" is the Root Cause.
5. "" is the Vulnerability Type.
6. "using a carefully crafted git URL" is the Attacker Vector.
formula is a math and string formula parser. In versions prior to 3.0.1 crafted user-provided strings to formula's parser might lead to polynomial execution time and a denial of service. Users should upgrade to 3.0.1+. There are no known workarounds for this vulnerability.
1. "formula is a math and string formula parser" is the Affected Product.
2. "crafted user-provided strings to formula's parser" is the Root Cause.
3. "polynomial execution time and a denial of service" is the Impact.
4. "" is the Vulnerability Type.
5. "" is the Attacker Type.
6. "" is the Attacker Vector.
