CVE-1999-0001, via crafted packets.,1
CVE-1999-0039, via shell metacharacters in the distloc parameter.,0
CVE-1999-0044, by modifying sensitive files.,0
CVE-1999-0081, via the rnfr command.,0
CVE-1999-0084, by creating a writable kmem device and setting the UID to 0.,0
CVE-1999-0085, via a UDP packet with a long hostname.,0
CVE-1999-0127,create or overwrite arbitrary files to,0
CVE-1999-0129, via a .forward or :include: file.,0
CVE-1999-0137, via a buffer overflow.,0
CVE-1999-0143, by breaking and generating session keys.,0
CVE-1999-0146, via encoded carriage return characters in the query string,0
CVE-1999-0149, via a .. (dot dot) attack.,0
CVE-1999-0154, by appending a . (dot) to the end of the URL.,0
CVE-1999-0166,"use a """"cd .."""" command to",0
CVE-1999-0169, by specifying a false UID.,0
CVE-1999-0174, via a .. (dot dot) attack.,0
CVE-1999-0178, via a long query string.,0
CVE-1999-0182, by specifying a long password.,0
CVE-1999-0192, via the TERMCAP environmental variable.,0
CVE-1999-0196, via the receiver parameter ($VAR_receiver variable).,0
CVE-1999-0210, via shell metacharacters.,0
CVE-1999-0219, via a long (1) CWD or (2) LS (list) command.,0
CVE-1999-0225, via a malformed SMB logon request in which the actual data size does not match the specified size.,1
CVE-1999-0253, by using a %2e instead of a . (dot) in the URL.,0
CVE-1999-0262, via shell metacharacters in the query string.,0
CVE-1999-0288, via invalid UDP frames to port 137 (NETBIOS Name Service),0
CVE-1999-0290, via a large number of connections to localhost.,0
CVE-1999-0297, via a long environmental variable.,0
CVE-1999-0298, via a .. (dot dot) attack.,0
CVE-1999-0320, by overwriting arbitrary files.,0
CVE-1999-0347," via a """"%01"""" character in an """"about:"""" Javascript URL",2
CVE-1999-0357," via crafted """"oshare"""" packets",1
CVE-1999-0359, by locking out modems,0
CVE-1999-0377, by filling a machine's process tables through multiple connections to network services.,0
CVE-1999-0379, via certain methods that are marked as Safe for Scripting.,2
CVE-1999-0380, by setting a user's Finger File to point to the target file,0
CVE-1999-0386, by using a nonstandard URL.,0
CVE-1999-0416, via a TCP connection to the router's TELNET port.,0
CVE-1999-0420, by changing their uid through a malicious mount_umap program.,0
CVE-1999-0427, by sending attachments with long file names.,0
CVE-1999-0430, by forcing the supervisor module to reload.,0
CVE-1999-0439, via expansions in the procmailrc configuration file.,0
CVE-1999-0449, via a direct request to the (1) advsearch.asp,4
CVE-1999-0455, via exprcalc.cfm,0
CVE-1999-0474,use .. to,0
CVE-1999-0477, via openfile.cfm,0
CVE-1999-0490, via an IMG SRC tag.,0
CVE-1999-0491, by creating a directory with the name of the command to execute.,2
CVE-1999-0493, via the SM_MON and SM_NOTIFY commands,0
CVE-1999-0674, via profiling and execve.,0
CVE-1999-0676, via a symlink attack.,0
CVE-1999-0679, via m_invite invite option.,0
CVE-1999-0689, via a symlink attack.,0
CVE-1999-0691, via a long user name.,0
CVE-1999-0702, via the Import/Export Favorites feature,0
CVE-1999-0706, by modifying the IFS or PATH environmental variables.,0
CVE-1999-0707,send a file to,0
CVE-1999-0708, via a long GECOS field.,0
CVE-1999-0715, via a malformed phonebook entry.,0
CVE-1999-0730, via a symlink attack.,0
CVE-1999-0735, via a symlink attack in temporary user directories.,0
CVE-1999-0743, via symlinks.,0
CVE-1999-0744, via a long HTTP GET request.,3
CVE-1999-0750, via the HTML STYLE tag,0
CVE-1999-0754, by specifying an alternate configuration file using the INNCONF environmental variable.,0
CVE-1999-0756, via the Start/Stop utility.,0
CVE-1999-0758, by appending a %20 to the script's URL.,2
CVE-1999-0761, via the periodic program.,0
CVE-1999-0765, via a text editor.,0
CVE-1999-0769, via the MAILTO environmental variable.,0
CVE-1999-0771, via a .. (dot dot) attack.,0
CVE-1999-0776, via a .. (dot dot) attack.,0
CVE-1999-0778, via a long display or query parameter.,0
CVE-1999-0780, by specifying an arbitrary PID in the .kss.pid file.,0
CVE-1999-0781, by setting the KDEDIR environmental variable to modify the search path that KDE uses to locate its executables.,2
CVE-1999-0782, via the HOME environmental variable.,0
CVE-1999-0783, by creating a hard link from a device special file to a file on an NFS file system.,0
CVE-1999-0785," via the """"pathrun"""" parameter in the inn.conf file.",0
CVE-1999-0786, via the LD_PROFILE environmental variable and a symlink attack.,0
CVE-1999-0793, by redirecting data to a Javascript applet.,1
CVE-1999-0797, via a large number of finger requests,4
CVE-1999-0801, by spoofing frames.,0
CVE-1999-0802, via a malformed Favorites icon.,0
CVE-1999-0803, via a symlink attack.,0
CVE-1999-0805, via a large number of requests.,4
CVE-1999-0808, via long options.,0
CVE-1999-0815, via a large number of queries.,0
CVE-1999-0817, uses when calling external programs to handle certain protocols,3
CVE-1999-0820, via a modified PATH variable for finding the xterm and seyon-emu commands.,0
CVE-1999-0821, by providing a malicious program in the -emulator argument.,0
CVE-1999-0823, via -f argument.,0
CVE-1999-0832, via a long pathname.,0
CVE-1999-0836, via a symlink attack.,0
CVE-1999-0838, via the SITE command.,0
CVE-1999-0839, by modifying the job after it has been scheduled.,0
CVE-1999-0840, via a long -f option.,0
CVE-1999-0841, via a long MIME Content-Type.,0
CVE-1999-0842, via a .. (dot dot) attack.,0
CVE-1999-0845, via a long username.,0
CVE-1999-0853, via the HTTP Basic Authentication procedure.,3
CVE-1999-0856, by reporting an encryption error when an account is locked or does not exist.,0
CVE-1999-0857, via a symlink attack.,0
CVE-1999-0858, via a malicious Web Proxy Auto-Discovery (WPAD) server.,0
CVE-1999-0859, via the -f parameter,0
CVE-1999-0860, via the VMSYS environmental variable and a symlink attack.,0
CVE-1999-0862, by reading a plaintext password file.,0
CVE-1999-0864, via a symlink attack on the ./core.pid file.,0
CVE-1999-0868, via shell metacharacters that are passed to it from INN.,0
CVE-1999-0870, by pasting a file name into the file upload control,0
CVE-1999-0871, via IE's cross frame security,0
CVE-1999-0872, via a long MAILTO environment variable in a crontab file.,0
CVE-1999-0874, via a malformed request for files with .HTR,4
CVE-1999-0877, via an ExecCommand method called on an IFRAME.,4
CVE-1999-0878, via MAPPING_CHDIR.,0
CVE-1999-0879, via macro variables in a message file.,0
CVE-1999-0881, via a .. (dot dot) attack.,0
CVE-1999-0882, via long file names.,0
CVE-1999-0883, by specifying the file name in an option to the search engine.,0
CVE-1999-0885, via a pipe character in a malformed URL.,0
CVE-1999-0886, via the Windows NT Service Control Manager.,0
CVE-1999-0887, via a .. (dot dot) attack.,0
CVE-1999-0888, by setting the ORACLE_HOME environmental variable,0
CVE-1999-0890, via a code parsing error.,0
CVE-1999-0891, via a server-side redirect.,0
CVE-1999-0893, via a symlink attack.,0
CVE-1999-0896, via a long username and password.,0
CVE-1999-0897, via a .. (dot dot) attack.,0
CVE-1999-0898, via a malformed spooler request.,4
CVE-1999-0900, via MD5 hash generation.,0
CVE-1999-0904, via a long username.,0
CVE-1999-0906, via the HOME environmental variable.,0
CVE-1999-0909, via a malformed packet with IP options,0
CVE-1999-0912, by opening a large number of files.,0
CVE-1999-0913, via shell metacharacters.,0
CVE-1999-0915, via a .. (dot dot) attack.,0
CVE-1999-0919, via a large number of telnet connections.,0
CVE-1999-0920, via the FOLD command.,0
CVE-1999-0922, via the sourcewindow.cfm file.,0
CVE-1999-0925, via a large number of MIME headers.,0
CVE-1999-0926, via a large number of MIME headers.,0
CVE-1999-0927, via a .. (dot dot) attack.,0
CVE-1999-0928, via a long URL.,0
CVE-1999-0929, via a large number of HTTP GET requests.,3
CVE-1999-0930, via a malformed argument.,0
CVE-1999-0933, via a .. (dot dot) attack.,0
CVE-1999-0934, via shell metacharacters.,0
CVE-1999-0935, by specifying them in a hidden variable in a CGI form.,0
CVE-1999-0936, via shell metacharacters.,0
CVE-1999-0937, via the automessage hidden form variable.,0
CVE-1999-0938, via shell metacharacters in Session Initiation Protocol (SIP) messages.,3
CVE-1999-0940, via malformed MIME messages.,0
CVE-1999-0941, via shell metacharacters.,0
CVE-1999-0942, by using the STATICMERGE environmental variable to find a script which it executes.,2
CVE-1999-0943, via a long GET request to the web configurator.,4
CVE-1999-0945, via AUTH or AUTHINFO commands.,0
CVE-1999-0955, via the SITE EXEC command.,0
CVE-1999-0957, via a symlink attack.,0
CVE-1999-0958, via a .. (dot dot) attack.,0
CVE-1999-0959, via a symlink attack.,0
CVE-1999-0960, via a command line option.,0
CVE-1999-0961, via a symlink attack during log file creation.,0
CVE-1999-0962, via a command line option.,0
CVE-1999-0963, via a symlink attack.,0
CVE-1999-0964, via a long PATH_LOCALE environment variable.,0
CVE-1999-0965, via the logging option.,0
CVE-1999-0966, via a long argv[0].,0
CVE-1999-0970, via a malformed URL which causes a large number of temporary files to be created.,0
CVE-1999-0971, via a long :include: option in a .forward file.,0
CVE-1999-0973, via a long domain name when snoop is running in verbose mode.,0
CVE-1999-0974, via GETQUOTA requests to the rpc.rquotad service.,4
CVE-1999-0975, by editing a table of contents metafile with a .CNT extension and modifying the topic action to include the commands to be executed when the .hlp file is accessed.,2
CVE-1999-0976, via the newaliases command,0
CVE-1999-0978, via filenames with shell metacharacters.,0
CVE-1999-0979, by using a debugger such as gdb to insert traps into _init before the privileged process is executed.,2
CVE-1999-0980, via a malformed argument in a resource enumeration request.,4
CVE-1999-0981, use a server-side redirect to access local files via that window,0
CVE-1999-0983, via shell metacharacters in the domain entry.,0
CVE-1999-0984, via shell metacharacters in the domain entry.,0
CVE-1999-0985, via shell metacharacters in the domain entry.,0
CVE-1999-0986, by sending large packets with the -R (record route) option.,0
CVE-1999-0988, via a symlink attack.,0
CVE-1999-0989, via the vnd.ms.radio protocol.,3
CVE-1999-0991, via a long login name.,0
CVE-1999-0992, via the Trusted Gateway Proxy (TGP).,0
CVE-1999-0995, via malformed arguments to the LsaLookupSids function which looks up the SID,0
CVE-1999-0996, via a long GET request.,4
CVE-1999-0997, via a malformed file name that is interpreted as an argument to the program that does the conversion,0
CVE-1999-0999, via a malformed TDS packet.,0
CVE-1999-1001, via a null username and password.,0
CVE-1999-1003, by flooding it with connections.,0
CVE-1999-1005, via a .. (dot dot) attack using the HELP parameter.,0
CVE-1999-1006, via the HELP parameter.,0
CVE-1999-1007, via a malformed .vdo file.,0
CVE-1999-1008, via a long argument.,0
CVE-1999-1009, by connecting to an HTTP server on the user's system.,3
CVE-1999-1013, via the -f parameter and a malformed zone file.,0
CVE-1999-1014, via a long -m argument.,0
CVE-1999-1015, via a long HELO command.,0
CVE-1999-1024, via a packet with a zero length header,0
CVE-1999-1026, via a symlink attack on the /tmp/.asppp.fifo file.,0
CVE-1999-1028, via a large amount of data to port 5631.,1
CVE-1999-1030, via an HTTP request that ends in %0A (newline),3
CVE-1999-1031, via a long argument.,0
CVE-1999-1035, via a malformed GET request,4
CVE-1999-1036, via a symlink attack on temporary files in (1) res_diff,0
CVE-1999-1037, via a symlink attack on the /tmp/rex.$$ file.,0
CVE-1999-1038, via a symlink attack on various temporary files in Tiger's default working directory,0
CVE-1999-1039,create root-owned files leading to,0
CVE-1999-1040, via a modified IFS environmental variable.,0
CVE-1999-1041, via (1) a long TERM environmental variable and (2) a long entry in the .mscreenrc file.,0
CVE-1999-1045, by sending a short,0
CVE-1999-1050, via (1) a .. (dot dot) in the reply_message_attach attachment parameter,0
CVE-1999-1057, via the ANALYZE/PROCESS_DUMP dcl command.,0
CVE-1999-1060, by connecting to port 31457 from a host with a long DNS hostname.,0
CVE-1999-1063, via shell metacharacters in the fqdn parameter.,0
CVE-1999-1064, by executing WindowMaker with a long program name (argv[0]).,2
CVE-1999-1069, via a .. (dot dot) in the icatcommand parameter.,0
CVE-1999-1070, via a long query parameter.,0
CVE-1999-1072, by obtaining the encrypted password from the world-readable Architext.conf authentication file and replaying the encrypted password in an HTTP request to AT-generated.cgi or AT-admin.cgi.,3
CVE-1999-1076," by selecting the """"Log Out"""" option and selecting a """"Cancel"""" option in the dialog box for an application that attempts to verify that the user wants to log out",0
CVE-1999-1077, via the programmer's switch or CMD-PWR keyboard sequence,0
CVE-1999-1079, by attaching to a setgid program.,0
CVE-1999-1082," via a """"......"""" (modified dot dot) attack.",0
CVE-1999-1083, via a .. (dot dot) attack.,0
CVE-1999-1089, via a long command line argument.,0
CVE-1999-1093, via a malicious web page.,0
CVE-1999-1094," via a long URL with the """"mk:"""" protocol",3
CVE-1999-1096, via a long HOME environmental variable.,0
CVE-1999-1097, via a CTRL-C in the chat box when the box is empty.,0
CVE-1999-1098, via sniffing.,0
CVE-1999-1099, via a malformed UDP packet that generates an error string that inadvertently includes the realm name and the last user.,0
CVE-1999-1103, by specifying the file with the -file parameter.,0
CVE-1999-1106, via a long -c (account_name) command line argument.,0
CVE-1999-1107, via a long PATH environmental variable.,0
CVE-1999-1109, by sending a series of ETRN commands then disconnecting from the server,0
CVE-1999-1111, by using a non-linear attack which directly modifies a pointer to a return address instead of using a buffer overflow to reach the return address entry itself.,0
CVE-1999-1112," via a long string after the """"8BPS"""" image type in a Photo Shop image header.",0
CVE-1999-1113, via a long USER command to port 106.,0
CVE-1999-1117, by specifying the file in the -h command line parameter.,0
CVE-1999-1118, by modifying certain TCP/IP parameters.,0
CVE-1999-1123, via setuid root programs (1) makeinstall or (2) winstall.,0
CVE-1999-1124, by providing the target page to the mainframeset.cfm application,0
CVE-1999-1128, via a .isp file,0
CVE-1999-1129, by forging the VLAN identifier in the trunking tag.,0
CVE-1999-1131, via a long principal,0
CVE-1999-1132, via extra source routing data such as (1) a Routing Information Field (RIF) field with a hop count greater than 7,1
CVE-1999-1133, via (1) vuefile,0
CVE-1999-1139, via a symlink attack on the IOERROR.mytty file.,0
