CVE-1999-0001,ip_input.c,12
CVE-1999-0006,Buffer overflow,2
CVE-1999-0038,Buffer overflow,2
CVE-1999-0039,webdist CGI program (webdist.cgi),12
CVE-1999-0040,Buffer overflow,2
CVE-1999-0044,fsdump command,12
CVE-1999-0052,IP fragmentation denial of service,12
CVE-1999-0062,The chpass command,12
CVE-1999-0065,Multiple buffer overflows,2
CVE-1999-0085,Buffer overflow,2
CVE-1999-0089,Buffer overflow,2
CVE-1999-0090,Buffer overflow,2
CVE-1999-0091,Buffer overflow,2
CVE-1999-0092,Various vulnerabilities,12
CVE-1999-0098,Buffer overflow,2
CVE-1999-0099,Buffer overflow,2
CVE-1999-0102,Buffer overflow,2
CVE-1999-0107,Buffer overflow,2
CVE-1999-0123,Race condition,12
CVE-1999-0124,Vulnerabilities,12
CVE-1999-0127,swinstall and swmodify commands,12
CVE-1999-0134,vold,12
CVE-1999-0135,admintool,12
CVE-1999-0139,Buffer overflow,2
CVE-1999-0142,The Java Applet Security Manager implementation,12
CVE-1999-0149,The wrap CGI program,12
CVE-1999-0162,"The """"established"""" keyword",12
CVE-1999-0164,A race condition,12
CVE-1999-0175,The convert.bas program,12
CVE-1999-0177,The uploader program,12
CVE-1999-0178,Buffer overflow,2
CVE-1999-0192,Buffer overflow,2
CVE-1999-0194,Denial of service,12
CVE-1999-0195,Denial of service,12
CVE-1999-0196,websendmail,12
CVE-1999-0211,Extra long export lists over 256 characters,12
CVE-1999-0213,libnsl,12
CVE-1999-0219,Buffer overflow,2
CVE-1999-0222,Denial of service,12
CVE-1999-0236,ScriptAlias directory,12
CVE-1999-0241,Guessable magic cookies,12
CVE-1999-0245,Some configurations of NIS+,12
CVE-1999-0247,Buffer overflow,2
CVE-1999-0248,A race condition,12
CVE-1999-0251,Denial of service,12
CVE-1999-0254,A hidden SNMP community string,12
CVE-1999-0270,Directory traversal vulnerability,3
CVE-1999-0288,The WINS server,12
CVE-1999-0297,Buffer overflow,2
CVE-1999-0298,ypbind with -ypset and -ypsetme options activated,12
CVE-1999-0304,mmap function,12
CVE-1999-0307,Buffer overflow,2
CVE-1999-0311,fpkg2swpk,12
CVE-1999-0318,Buffer overflow,2
CVE-1999-0319,Buffer overflow,2
CVE-1999-0321,Buffer overflow,2
CVE-1999-0322,The open() function,12
CVE-1999-0324,ppl program,12
CVE-1999-0325,vhe_u_mnt program,12
CVE-1999-0336,Buffer overflow,2
CVE-1999-0339,Buffer overflow,2
CVE-1999-0340,Buffer overflow,2
CVE-1999-0341,Buffer overflow,2
CVE-1999-0349,A buffer overflow,2
CVE-1999-0359,ptylogin,12
CVE-1999-0375,Buffer overflow,2
CVE-1999-0377,Process table attack,12
CVE-1999-0381,super 3.11.6 and other versions have a buffer overflow,2
CVE-1999-0385,The LDAP bind function,12
CVE-1999-0386,Microsoft Personal Web Server and FrontPage Personal Web Server,12
CVE-1999-0387,A legacy credential caching mechanism used,12
CVE-1999-0395,A race condition,12
CVE-1999-0396,A race condition between the select() and accept() calls,12
CVE-1999-0401,A race condition,12
CVE-1999-0403,A bug,12
CVE-1999-0405,A buffer overflow,2
CVE-1999-0409,Buffer overflow,2
CVE-1999-0410,The cancel command,12
CVE-1999-0413,A buffer overflow,2
CVE-1999-0416,Vulnerability,12
CVE-1999-0423,Vulnerability,12
CVE-1999-0424,talkback,12
CVE-1999-0425,talkback,12
CVE-1999-0435,MC/ServiceGuard and MC/LockManager,12
CVE-1999-0436,Domain Enterprise Server Management System (DESMS),12
CVE-1999-0439,Buffer overflow,2
CVE-1999-0449,The ExAir sample site,12
CVE-1999-0451,Denial of service,12
CVE-1999-0455,The Expression Evaluator sample application,12
CVE-1999-0460,Buffer overflow,2
CVE-1999-0466,The SVR4 /dev/wabi special device file,12
CVE-1999-0471,The remote proxy server,12
CVE-1999-0475,A race condition,12
CVE-1999-0477,The Expression Evaluator,12
CVE-1999-0487,The DHTML Edit ActiveX control,12
CVE-1999-0489,MSHTML.DLL,12
CVE-1999-0490,MSHTML.DLL,12
CVE-1999-0491,The prompt parsing,12
CVE-1999-0530,A system is operating,12
CVE-1999-0593,The default setting for the Winlogon key entry ShutdownWithoutLogon,12
CVE-1999-0670,Buffer overflow,2
CVE-1999-0676,sdtcm_convert,12
CVE-1999-0679,Buffer overflow,2
CVE-1999-0691,Buffer overflow,2
CVE-1999-0693,Buffer overflow,2
CVE-1999-0694,Denial of service,12
CVE-1999-0707,The default FTP configuration,12
CVE-1999-0708,Buffer overflow,2
CVE-1999-0711,The oratclsh interpreter,12
CVE-1999-0712,A vulnerability,12
CVE-1999-0713,The dtlogin program,12
CVE-1999-0715,Buffer overflow,2
CVE-1999-0720,The pt_chown command,12
CVE-1999-0727,A kernel leak,12
CVE-1999-0729,Buffer overflow,2
CVE-1999-0730,The zsoelim program,12
CVE-1999-0736,The showcode.asp sample file,12
CVE-1999-0737,The viewcode.asp sample file,12
CVE-1999-0738,The code.asp sample file,12
CVE-1999-0739,The codebrws.asp sample file,12
CVE-1999-0744,Buffer overflow,2
CVE-1999-0760,Undocumented ColdFusion Markup Language (CFML) tags and functions,12
CVE-1999-0761,Buffer overflow,2
CVE-1999-0773,Buffer overflow,2
CVE-1999-0778,Buffer overflow,2
CVE-1999-0786,The dynamic linker,12
CVE-1999-0800,The GetFile.cfm file,12
CVE-1999-0802,Buffer overflow,2
CVE-1999-0803,The fwluser script,12
CVE-1999-0805,Novell NetWare Transaction Tracking System (TTS),12
CVE-1999-0808,Multiple buffer overflows,2
CVE-1999-0812,Race condition,12
CVE-1999-0815,Memory leak,12
CVE-1999-0823,Buffer overflow,2
CVE-1999-0826,Buffer overflow,2
CVE-1999-0832,Buffer overflow,2
CVE-1999-0838,Buffer overflow,2
CVE-1999-0840,Buffer overflow,2
CVE-1999-0841,Buffer overflow,2
CVE-1999-0845,Buffer overflow,2
CVE-1999-0853,Buffer overflow,2
CVE-1999-0856,login,12
CVE-1999-0862,Insecure directory permissions,12
CVE-1999-0866,Buffer overflow,2
CVE-1999-0872,Buffer overflow,2
CVE-1999-0874,Buffer overflow,2
CVE-1999-0878,Buffer overflow,2
CVE-1999-0879,Buffer overflow,2
CVE-1999-0888,dbsnmp,12
CVE-1999-0891,"The """"download behavior""""",12
CVE-1999-0893,userOsa,12
CVE-1999-0896,Buffer overflow,2
CVE-1999-0898,Buffer overflows,2
CVE-1999-0900,Buffer overflow,2
CVE-1999-0904,Buffer overflow,2
CVE-1999-0906,Buffer overflow,2
CVE-1999-0913,dfire.cgi script,12
CVE-1999-0919,A memory leak,12
CVE-1999-0920,Buffer overflow,2
CVE-1999-0922,An example application,12
CVE-1999-0923,Sample runnable code snippets,12
CVE-1999-0924,The Syntax Checker,12
CVE-1999-0928,Buffer overflow,2
CVE-1999-0931,Buffer overflow,2
CVE-1999-0940,Buffer overflow,2
CVE-1999-0943,Buffer overflow,2
CVE-1999-0945,Buffer overflow,2
CVE-1999-0948,Buffer overflow,2
CVE-1999-0949,Buffer overflow,2
CVE-1999-0950,Buffer overflow,2
CVE-1999-0951,Buffer overflow,2
CVE-1999-0952,Buffer overflow,2
CVE-1999-0955,Race condition,12
CVE-1999-0962,Buffer overflow,2
CVE-1999-0964,Buffer overflow,2
CVE-1999-0965,Race condition,12
CVE-1999-0966,Buffer overflow,2
CVE-1999-0968,Buffer overflow,2
CVE-1999-0971,Buffer overflow,2
CVE-1999-0973,Buffer overflow,2
CVE-1999-0974,Buffer overflow,2
CVE-1999-0977,Buffer overflow,2
CVE-1999-0986,The ping command,12
CVE-1999-0989,Buffer overflow,2
CVE-1999-0991,Buffer overflow,2
CVE-1999-0996,Buffer overflow,2
CVE-1999-1007,Buffer overflow,2
CVE-1999-1013,named-xfer,12
CVE-1999-1014,Buffer overflow,2
CVE-1999-1015,Buffer overflow,2
CVE-1999-1024,ip_print procedure,12
CVE-1999-1032,Vulnerability,12
CVE-1999-1034,Vulnerability,12
CVE-1999-1037,rex.satan,12
CVE-1999-1039,Vulnerability,12
CVE-1999-1040,Vulnerabilities,12
CVE-1999-1041,Buffer overflow,2
CVE-1999-1044,Vulnerability,12
CVE-1999-1045,pnserver,12
CVE-1999-1046,Buffer overflow,2
CVE-1999-1050,Directory traversal vulnerability,3
CVE-1999-1051,Default configuration,12
CVE-1999-1058,Buffer overflow,2
CVE-1999-1059,Vulnerability,12
CVE-1999-1060,Buffer overflow,2
CVE-1999-1064,Multiple buffer overflows,2
CVE-1999-1065,Palm Pilot HotSync Manager 3.0.4,12
CVE-1999-1069,Directory traversal vulnerability,3
CVE-1999-1070,Buffer overflow,2
CVE-1999-1076,Idle locking function,12
CVE-1999-1077,Idle locking function,12
CVE-1999-1079,Vulnerability,12
CVE-1999-1081,Vulnerability,12
CVE-1999-1082,Directory traversal vulnerability,3
CVE-1999-1083,Directory traversal vulnerability,3
CVE-1999-1088,Vulnerability,12
CVE-1999-1089,Buffer overflow,2
CVE-1999-1093,Buffer overflow,2
CVE-1999-1094,Buffer overflow,2
CVE-1999-1096,Buffer overflow,2
CVE-1999-1098,Vulnerability,12
CVE-1999-1103,dxconsole,12
CVE-1999-1106,Buffer overflow,2
CVE-1999-1107,Buffer overflow,2
CVE-1999-1111,Vulnerability,12
CVE-1999-1112,Buffer overflow,2
CVE-1999-1113,Buffer overflow,2
CVE-1999-1116,Vulnerability,12
CVE-1999-1117,lquerypv,12
CVE-1999-1118,ndd,12
CVE-1999-1121,The default configuration for UUCP,12
CVE-1999-1122,Vulnerability,12
CVE-1999-1124,HTTP Client application,12
CVE-1999-1131,Buffer overflow,2
CVE-1999-1134,Vulnerability,12
CVE-1999-1135,Vulnerability,12
CVE-1999-1139,Character-Terminal User Environment (CUE),12
CVE-1999-1140,Buffer overflow,2
CVE-1999-1143,Vulnerability,12
