4, via crafted packets.
4, via shell metacharacters in the distloc parameter.
1, by modifying sensitive files.
2, via the rnfr command.
3, by creating a writable kmem device and setting the UID to 0.
4, via a UDP packet with a long hostname.
1,create or overwrite arbitrary files to
4, via a .forward or :include: file.
4, via a buffer overflow.
3, by breaking and generating session keys.
1, via encoded carriage return characters in the query string
4, via a .. (dot dot) attack.
5, by appending a . (dot) to the end of the URL.
5,"use a """"cd .."""" command to"
3, by specifying a false UID.
4, via a .. (dot dot) attack.
4, via a long query string.
3, by specifying a long password.
2, via the TERMCAP environmental variable.
0, via the receiver parameter ($VAR_receiver variable).
4, via shell metacharacters.
4, via a long (1) CWD or (2) LS (list) command.
4, via a malformed SMB logon request in which the actual data size does not match the specified size.
3, by using a %2e instead of a . (dot) in the URL.
4, via shell metacharacters in the query string.
0, via invalid UDP frames to port 137 (NETBIOS Name Service)
4, via a large number of connections to localhost.
4, via a long environmental variable.
4, via a .. (dot dot) attack.
1, by overwriting arbitrary files.
4," via a """"%01"""" character in an """"about:"""" Javascript URL"
4," via crafted """"oshare"""" packets"
0, by locking out modems
4, by filling a machine's process tables through multiple connections to network services.
2, via certain methods that are marked as Safe for Scripting.
5, by setting a user's Finger File to point to the target file
4, by using a nonstandard URL.
4, via a TCP connection to the router's TELNET port.
0, by changing their uid through a malicious mount_umap program.
2, by sending attachments with long file names.
0, by forcing the supervisor module to reload.
0, via expansions in the procmailrc configuration file.
4, via a direct request to the (1) advsearch.asp
4, via exprcalc.cfm
5,use .. to
4, via openfile.cfm
2, via an IMG SRC tag.
5, by creating a directory with the name of the command to execute.
2, via the SM_MON and SM_NOTIFY commands
3, via profiling and execve.
4, via a symlink attack.
4, via m_invite invite option.
4, via a symlink attack.
4, via a long user name.
2, via the Import/Export Favorites feature
0, by modifying the IFS or PATH environmental variables.
5,send a file to
4, via a long GECOS field.
4, via a malformed phonebook entry.
4, via a symlink attack.
4, via a symlink attack in temporary user directories.
4, via symlinks.
4, via a long HTTP GET request.
2, via the HTML STYLE tag
3, by specifying an alternate configuration file using the INNCONF environmental variable.
2, via the Start/Stop utility.
5, by appending a %20 to the script's URL.
2, via the periodic program.
4, via a text editor.
2, via the MAILTO environmental variable.
4, via a .. (dot dot) attack.
4, via a .. (dot dot) attack.
4, via a long display or query parameter.
0, by specifying an arbitrary PID in the .kss.pid file.
1, by setting the KDEDIR environmental variable to modify the search path that KDE uses to locate its executables.
2, via the HOME environmental variable.
5, by creating a hard link from a device special file to a file on an NFS file system.
2," via the """"pathrun"""" parameter in the inn.conf file."
2, via the LD_PROFILE environmental variable and a symlink attack.
1, by redirecting data to a Javascript applet.
4, via a large number of finger requests
3, by spoofing frames.
4, via a malformed Favorites icon.
4, via a symlink attack.
4, via a large number of requests.
3, via long options.
4, via a large number of queries.
0, uses when calling external programs to handle certain protocols
4, via a modified PATH variable for finding the xterm and seyon-emu commands.
5, by providing a malicious program in the -emulator argument.
4, via -f argument.
4, via a long pathname.
4, via a symlink attack.
2, via the SITE command.
0, by modifying the job after it has been scheduled.
4, via a long -f option.
4, via a long MIME Content-Type.
4, via a .. (dot dot) attack.
5, via a long username.
2, via the HTTP Basic Authentication procedure.
0, by reporting an encryption error when an account is locked or does not exist.
4, via a symlink attack.
4, via a malicious Web Proxy Auto-Discovery (WPAD) server.
0, via the -f parameter
2, via the VMSYS environmental variable and a symlink attack.
5, by reading a plaintext password file.
4, via a symlink attack on the ./core.pid file.
3, via shell metacharacters that are passed to it from INN.
5, by pasting a file name into the file upload control
4, via IE's cross frame security
4, via a long MAILTO environment variable in a crontab file.
4, via a malformed request for files with .HTR
4, via an ExecCommand method called on an IFRAME.
4, via MAPPING_CHDIR.
1, via macro variables in a message file.
4, via a .. (dot dot) attack.
1, via long file names.
0, by specifying the file name in an option to the search engine.
5, via a pipe character in a malformed URL.
2, via the Windows NT Service Control Manager.
4, via a .. (dot dot) attack.
2, by setting the ORACLE_HOME environmental variable
4, via a code parsing error.
4, via a server-side redirect.
4, via a symlink attack.
4, via a long username and password.
4, via a .. (dot dot) attack.
4, via a malformed spooler request.
3, via MD5 hash generation.
4, via a long username.
2, via the HOME environmental variable.
4, via a malformed packet with IP options
3, by opening a large number of files.
3, via shell metacharacters.
4, via a .. (dot dot) attack.
4, via a large number of telnet connections.
2, via the FOLD command.
4, via the sourcewindow.cfm file.
4, via a large number of MIME headers.
4, via a large number of MIME headers.
4, via a .. (dot dot) attack.
4, via a long URL.
4, via a large number of HTTP GET requests.
4, via a malformed argument.
4, via a .. (dot dot) attack.
4, via shell metacharacters.
0, by specifying them in a hidden variable in a CGI form.
4, via shell metacharacters.
2, via the automessage hidden form variable.
4, via shell metacharacters in Session Initiation Protocol (SIP) messages.
2, via malformed MIME messages.
3, via shell metacharacters.
1, by using the STATICMERGE environmental variable to find a script which it executes.
4, via a long GET request to the web configurator.
3, via AUTH or AUTHINFO commands.
2, via the SITE EXEC command.
4, via a symlink attack.
4, via a .. (dot dot) attack.
4, via a symlink attack.
4, via a command line option.
4, via a symlink attack during log file creation.
4, via a command line option.
4, via a symlink attack.
4, via a long PATH_LOCALE environment variable.
2, via the logging option.
4, via a long argv[0].
4, via a malformed URL which causes a large number of temporary files to be created.
4, via a long :include: option in a .forward file.
4, via a long domain name when snoop is running in verbose mode.
4, via GETQUOTA requests to the rpc.rquotad service.
5, by editing a table of contents metafile with a .CNT extension and modifying the topic action to include the commands to be executed when the .hlp file is accessed.
2, via the newaliases command
0, via filenames with shell metacharacters.
3, by using a debugger such as gdb to insert traps into _init before the privileged process is executed.
4, via a malformed argument in a resource enumeration request.
4, use a server-side redirect to access local files via that window
4, via shell metacharacters in the domain entry.
4, via shell metacharacters in the domain entry.
4, via shell metacharacters in the domain entry.
0, by sending large packets with the -R (record route) option.
4, via a symlink attack.
2, via the vnd.ms.radio protocol.
4, via a long login name.
2, via the Trusted Gateway Proxy (TGP).
1, via malformed arguments to the LsaLookupSids function which looks up the SID
4, via a long GET request.
4, via a malformed file name that is interpreted as an argument to the program that does the conversion
4, via a malformed TDS packet.
4, via a null username and password.
2, by flooding it with connections.
4, via a .. (dot dot) attack using the HELP parameter.
2, via the HELP parameter.
4, via a malformed .vdo file.
4, via a long argument.
3, by connecting to an HTTP server on the user's system.
2, via the -f parameter and a malformed zone file.
4, via a long -m argument.
5, via a long HELO command.
4, via a packet with a zero length header
4, via a symlink attack on the /tmp/.asppp.fifo file.
4, via a large amount of data to port 5631.
2, via an HTTP request that ends in %0A (newline)
4, via a long argument.
4, via a malformed GET request
4, via a symlink attack on temporary files in (1) res_diff
4, via a symlink attack on the /tmp/rex.$$ file.
4, via a symlink attack on various temporary files in Tiger's default working directory
5,create root-owned files leading to
4, via a modified IFS environmental variable.
4, via (1) a long TERM environmental variable and (2) a long entry in the .mscreenrc file.
3, by sending a short
4, via (1) a .. (dot dot) in the reply_message_attach attachment parameter
2, via the ANALYZE/PROCESS_DUMP dcl command.
3, by connecting to port 31457 from a host with a long DNS hostname.
4, via shell metacharacters in the fqdn parameter.
5, by executing WindowMaker with a long program name (argv[0]).
4, via a .. (dot dot) in the icatcommand parameter.
4, via a long query parameter.
0, by obtaining the encrypted password from the world-readable Architext.conf authentication file and replaying the encrypted password in an HTTP request to AT-generated.cgi or AT-admin.cgi.
2," by selecting the """"Log Out"""" option and selecting a """"Cancel"""" option in the dialog box for an application that attempts to verify that the user wants to log out"
2, via the programmer's switch or CMD-PWR keyboard sequence
3, by attaching to a setgid program.
4," via a """"......"""" (modified dot dot) attack."
4, via a .. (dot dot) attack.
4, via a long command line argument.
4, via a malicious web page.
4," via a long URL with the """"mk:"""" protocol"
4, via a long HOME environmental variable.
4, via a CTRL-C in the chat box when the box is empty.
4, via sniffing.
4, via a malformed UDP packet that generates an error string that inadvertently includes the realm name and the last user.
0, by specifying the file with the -file parameter.
4, via a long -c (account_name) command line argument.
4, via a long PATH environmental variable.
4, by sending a series of ETRN commands then disconnecting from the server
3, by using a non-linear attack which directly modifies a pointer to a return address instead of using a buffer overflow to reach the return address entry itself.
5," via a long string after the """"8BPS"""" image type in a Photo Shop image header."
0, via a long USER command to port 106.
0, by specifying the file in the -h command line parameter.
1, by modifying certain TCP/IP parameters.
0, via setuid root programs (1) makeinstall or (2) winstall.
0, by providing the target page to the mainframeset.cfm application
4, via a .isp file
0, by forging the VLAN identifier in the trunking tag.
4, via a long principal
0, via extra source routing data such as (1) a Routing Information Field (RIF) field with a hop count greater than 7
4, via (1) vuefile
4, via a symlink attack on the IOERROR.mytty file.
4, via a long GECOS field.
2, by entering debug mode through a sequence of CTRL-D characters.
4," via """"LD_*"""" environmental variables to certain dynamically linked setuid or setgid programs such as (1) login"
3, via setuid and setgid programs.
4, via a long string to the Agent port (1827)
2, via many passive (PASV) connections at the same time.
4, via a long string to the FTP port.
4, via shell metacharacters in the recipient email address.
4, via shell metacharacters in the recipient email address.
4, via shell metacharacters in the recipient email address.
4, via a malformed PORT command that contains a non-numeric character and a large number of carriage returns.
2, via an ICMP Subnet Mask Address Request packet
0, via programs that use these modules such as passwd
2, by forcing ppl to core dump.
1, by preventing users from being able to log into the system.
2, via the Service Support Processor (SSP) Teststation.
1, by sending multiple email messages with the same X-UIDL headers
0, by injecting malicious Javascript into an annotation.
4, via a series of large UDP packets.
2," by setting the """"flags"""" registry key to 1920."
2," by setting the """"flags"""" registry key to 1920."
5, by inserting a known disk with a known password
4, via a long line in the .authlie script.
4, via a .. (dot dot) in the pathname for an upload operation.
2, via an HTTP request for the dumpenv.pl script.
3, via shell metacharacters in an argument to (1) args.cmd or (2) args.bat.
3, by calling a setuid program with a long program name (argv[0]) and forcing ld.so/ld-linux.so to report an error.
3, by providing a trojan horse (1) runtask or (2) runexec descriptor file
4, via a long TERM environmental variable.
4, via a long terminal entry (TERM) in the .mscreenrc file.
4, via a symlink attack on a lockfile that is created when a user receives new mail.
4," via a long """"From"""" header in an e-mail message."
4, via a long command line argument.
4, via a long command line argument.
1, via malformed data to port 6000.
5, via a large number of MIME headers with the same name
4," via a malformed """"EXPN *@"""" command."
0, via a long USER command.
4, via a spoofed endpoint identifier.
4, via a long command line argument.
4, via a symlink attack on a core dump file
1," via certain IP source routed packets that should normally be denied using the """"no ip source-route"""" command."
4, via a symlink attack on the dxchpwd.log file.
3, by returning 0.0.0.0 as the IP address for a DNS host name lookup.
4, via a request to an ASP page in which the URL contains a large number of / (forward slash) characters.
4, via a symlink attack on the packet capture file.
4, via a spoofed UDP packet with a source address of 127.0.0.1
4, via a modified PATH environment variable that points to a malicious cp program.
4, via a NULL policy handle in a call to (1) SamrOpenDomain
4, via a long log message.
4, via a symlink attack on the saved output file.
5, via an e-mail message containing a uuencoded attachment that specifies the full pathname for the file to be modified
2," via malformed commands whose arguments begin with a """"("""" (parenthesis) character"
2, by accessing certain devices.
4, via a symlink attack on the .kss.pid file.
0, by encoding the URL with hexadecimal escape sequences.
2, by accessing the configbreeze CGI program.
4, via a URL that contains an extra / in the http:// tag.
3, by connecting to the NukeNabber port (1080) without sending any data
5, by reading a large buffer from a random device (e.g. /dev/urandom)
4, via a symlink attack on a temporary file.
2, via the forms interface.
4, via a long URL.
1, via malformed FTP commands
5, via a long line in a kerberos configuration file
2, via the L2/AGAIN key.
4, via a large value in the debug (-d) command line option.
4, via a sequence of commands.
0, by modifying the symbolic link table in the \?? object folder using a different case letter (upper or lower) to point to a different device.
4, via packet spoofing.
4, via a long DNS hostname that is not properly handled during TGT ticket passing.
4, via a long LANG environmental variable.
4, via a symlink attack.
4, via a symlink attack on a temporary file.
3, via shell metacharacters in the names of files that are to be downloaded.
4, via (1) long From: headers
4, via a flood of IAC packets to the telnet port.
4, via a long -m command line argument.
1, via malformed packets to the server's UDP port.
4, via a long URL that contains a large number of . characters.
2, by starting kde
1, via certain packets
4, via a .. (dot dot) in a DCC GET request.
5, via a user mode application that closes a handle that was opened in kernel mode
4, via a flood of malformed packets
2, by calling certain WIN32K functions with incorrect parameters.
5, by running a program that creates a large number of locks on a file
0, via an illegal kernel mode address to the functions (1) GetThreadContext or (2) SetThreadContext.
4, via a long string in the terminal name argument.
4, via a TCP SYN scan with TCP/IP OS fingerprinting
