CVE-1999-0018,Buffer overflow in statd,, allows root privileges.,,,
CVE-1999-0049,Csetup under IRIX,, allows arbitrary file creation or overwriting.,,,
CVE-1999-0055,Buffer overflows in Sun libnsl,, allow root access.,,,
CVE-1999-0057,Vacation program,, allows command execution by remote users through a sendmail command.,,,
CVE-1999-0067,phf CGI program,, allows remote command execution through shell metacharacters.,,,
CVE-1999-0077,Predictable TCP sequence numbers,, allow spoofing.,,,
CVE-1999-0082,CWD ~root command in ftpd,, allows root access.,,,
CVE-1999-0101,"Buffer overflow in AIX and Solaris """"gethostbyname"""" library call",, allows root access through corrupt DNS host names.,,,
CVE-1999-0105,finger,, allows recursive searches ,by using a long string of @ symbols.,,
CVE-1999-0106,Finger redirection,, allows finger bombs.,,,
CVE-1999-0108,The printers program in IRIX,, has a buffer overflow that gives root access to local users.,,,
CVE-1999-0113,Some implementations of rlogin,, allow root access if given a -froot parameter.,,,
CVE-1999-0126,SGI IRIX buffer overflow in xterm and Xaw,, allows root access.,,,
CVE-1999-0147,The aglimpse CGI program of the Glimpse package,, allows remote execution of arbitrary commands.,,,
CVE-1999-0148,The handler CGI program in IRIX,, allows arbitrary command execution.,,,
CVE-1999-0150,The Perl fingerd program,, allows arbitrary command execution from remote users.,,,
CVE-1999-0152,The DG/UX finger daemon,, allows remote command execution through shell metacharacters.,,,
CVE-1999-0156,wu-ftpd FTP daemon,, allows any user and password combination.,,,
CVE-1999-0172,FormMail CGI program,, allows remote execution of commands.,,,
CVE-1999-0227,Access violation in LSASS.EXE (LSA/LSARPC) program in Windows NT,, allows a denial of service.,,,
CVE-1999-0240,Some filters or firewalls,, allow fragmented SYN packets with IP reserved bits in violation of their implemented policy.,,,
CVE-1999-0244,Livingston RADIUS code,, has a buffer overflow which can allow remote execution of commands as root.,,,
CVE-1999-0252,Buffer overflow in listserv,, allows arbitrary command execution.,,,
CVE-1999-0255,Buffer overflow in ircd,, allows arbitrary command execution.,,,
CVE-1999-0256,Buffer overflow in War FTP,, allows remote execution of commands.,,,
CVE-1999-0260,The jj CGI program,, allows command execution,via shell metacharacters.,,
CVE-1999-0261,Netmanager Chameleon SMTPd,, has several buffer overflows that cause a crash.,,,
CVE-1999-0266,The info2www CGI script,, allows remote file access or remote command execution.,,,
CVE-1999-0267,Buffer overflow in NCSA HTTP daemon v1.3,, allows remote command execution.,,,
CVE-1999-0276,mSQL v2.0.1 and below,, allows remote execution through a buffer overflow.,,,
CVE-1999-0279,Excite for Web Servers (EWS),, allows remote command execution,via shell metacharacters.,,
CVE-1999-0332,Buffer overflow in NetMeeting,, allows denial of service and remote command execution.,,,
CVE-1999-0333,HP OpenView Omniback,, allows remote execution of commands as root,via spoofing,,
CVE-1999-0352,ControlIT 4.5 and earlier (aka Remotely Possible),, has weak password encryption.,,,
CVE-1999-0358,Digital Unix 4.0,, has a buffer overflow in the inc program of the mh package.,,,
CVE-1999-0363,SuSE 5.2 PLP lpc program,, has a buffer overflow that leads to root compromise.,,,
CVE-1999-0365,The metamail package,, allows remote command execution using shell metacharacters that are not quoted in a mailcap entry.,,,
CVE-1999-0369,The Sun sdtcm_convert calendar utility for OpenWindows,, has a buffer overflow which can gain root access.,,,
CVE-1999-0382,The screen saver in Windows NT,, has been changed properly,, does not verify that its security context,
CVE-1999-0383,ACC Tigris,, allows public access without a login.,,,
CVE-1999-0404,Buffer overflow in the Mail-Max SMTP server for Windows systems,, allows remote command execution.,,,
CVE-1999-0426,The default permissions of /dev/kmem in Linux versions before 2.0.36,, allows IP spoofing.,,,
CVE-1999-0440,The byte code verifier component of the Java Virtual Machine (JVM),, allows remote execution through malicious web pages.,,,
CVE-1999-0452,A service or application,, has a backdoor password that was placed there by the developer.,,,
CVE-1999-0469,Internet Explorer 5.0,, allows window spoofing,,,
CVE-1999-0501,A Unix account,, has a guessable password.,,,
CVE-1999-0502,A Unix account,, has a default,,,
CVE-1999-0503,A Windows NT local user or administrator account,, has a guessable password.,,,
CVE-1999-0504,A Windows NT local user or administrator account,, has a default,,,
CVE-1999-0505,A Windows NT domain user or administrator account,, has a guessable password.,,,
CVE-1999-0506,A Windows NT domain user or administrator account,, has a default,,,
CVE-1999-0510,A router or firewall,, allows source routed packets from arbitrary hosts.,,,
CVE-1999-0512,A mail server is explicitly configured to,, allow SMTP mail relay,,,
CVE-1999-0515,An unrestricted remote trust relationship for Unix systems,, has been set up,,,
CVE-1999-0532,A DNS server,, allows zone transfers.,,,
CVE-1999-0547,An SSH server,, allows authentication through the .rhosts file.,,,
CVE-1999-0555,"A Unix account with a name other than """"root""""",, has UID 0,,,
CVE-1999-0561,IIS,, has the #exec function enabled for Server Side Include (SSI) files.,,,
CVE-1999-0569,A URL for a WWW directory,, allows auto-indexing,,,
CVE-1999-0580,The HKEY_LOCAL_MACHINE key in a Windows NT system,, has inappropriate,,,
CVE-1999-0581,The HKEY_CLASSES_ROOT key in a Windows NT system,, has inappropriate,,,
CVE-1999-0585,A Windows NT administrator account,, has the default name of Administrator.,,,
CVE-1999-0677,The WebRamp web administration utility,, has a default password.,,,
CVE-1999-0699,The Bluestone Sapphire web server,, allows session hijacking,via easily guessable session IDs.,,
CVE-1999-0747,Denial of service in BSDi Symmetric Multiprocessing (SMP),, has a high CPU load.,, when an fstat call is made when the system,
CVE-1999-0755,Windows NT RRAS and RAS clients cache a user's password even if the user,," has not selected the """"Save password"""" option.",,,
CVE-1999-0757,The ColdFusion CFCRYPT program for encrypting CFML templates,, has weak encryption,,,
CVE-1999-0822,Buffer overflow in Qpopper (qpop) 3.0,, allows remote root access,via AUTH command.,,
CVE-1999-0954,WWWBoard,, has a default username and default password.,,,
CVE-1999-1193,"The """"me"""" user in NeXT NeXTstep 2.1 and earlier",, has wheel group privileges,,,
CVE-1999-1249,movemail in HP-UX 10.20,, has insecure permissions,,,
CVE-1999-1275,Lotus cc:Mail release 8 stores the postoffice password in plaintext in a hidden file which,, has insecure permissions,,,
CVE-1999-1432,Power management (Powermanagement) on Solaris 2.4 through 2.6,, has completed,, does not start the xlock process until after the sys-suspend,
CVE-1999-1558,Vulnerability in loginout in Digital OpenVMS 7.1 and earlier,, allows unauthorized access when external authentication is enabled.,,,
CVE-2000-0061,Internet Explorer 5,, has been loaded,, does not modify the security zone for a document that is being loaded into a window until after the document,
CVE-2000-0138,A system,, has a distributed denial of service (DDOS) attack master,,,
CVE-2000-0147,snmpd in SCO OpenServer,, has an SNMP community string that is writable by default,,,
CVE-2000-0217,The default configuration of SSH,, allows X forwarding,,,
CVE-2000-0222,The installation for Windows 2000,, has rebooted,, does not activate the Administrator password until the system,
CVE-2000-0251,HP-UX 11.04 VirtualVault (VVOS) sends data to unprivileged processes via an interface that,, has multiple aliased IP addresses.,,,
CVE-2000-0517,Netscape 4.73 and earlier,, has previously accepted the certificate for a different web site,, does not properly warn users about a potentially invalid certificate if the user,
CVE-2000-0650,The default installation of VirusScan 4.5 and NetShield 4.5,, has insecure permissions for the registry key that identifies the AutoUpgrade directory,,,
CVE-2000-0784,sshd program in the Rapidstream 2.1 Beta VPN appliance,," has a hard-coded """"rsadmin"""" account with a null password",,,
CVE-2000-0793,Norton AntiVirus 5.00.01C with the Novell Netware client,, has logged off of the system.,, does not properly restart the auto-protection service after the first user,
CVE-2000-0881,The dccscan setuid program in LPPlus,, has the permissions to print the file that is specified to dccscan,, does not properly check if the user,
CVE-2000-1015,The default configuration of Slashcode before version 2.0 Alpha,, has a default administrative password,,,
CVE-2000-1138,Lotus Notes R5 client R5.0.5 and earlier,, has been modified,, does not properly warn users when an S/MIME email message,
CVE-2001-0006,The Winsock2ProtocolCatalogMutex mutex in Windows NT 4.0,, has inappropriate Everyone/Full Control permissions,,,
CVE-2001-0156,VShell SSH gateway 1.0.1 and earlier,, has a default port forwarding rule of 0.0.0.0/0.0.0.0,,,
CVE-2001-0273,pgp4pine Pine/PGP interface version 1.75-6,, has expired when obtaining the keys,via Gnu Privacy Guard (GnuPG), does not properly check to see if a public key,
CVE-2001-0300,oidldapd 2.1.1.1 in Oracle 8.1.7 records log files in a directory (ldaplog) that,, has world-writable permissions,,,
CVE-2001-0376,SonicWALL Tele2 and SOHO firewalls with 6.0.0.0 firmware,, allow for the use of full 128 byte IKE pre-shared keys,, using IPSEC with IKE pre-shared keys do not,
CVE-2001-0380,Crosscom/Olicom XLT-F running XL 80 IM Version 5.5 Build Level 2,, allows a remote attacker SNMP read and write access,via a default,,
CVE-2001-0477,Vulnerability in WebCalendar 0.9.26,, allows remote command execution.,,,
CVE-2001-0488,pcltotiff in HP-UX 10.x,, has unnecessary set group id permissions,,,
CVE-2001-0631,Centrinity First Class Internet Services 5.50,, allows for the circumventing of the default 'spam' filters,via the presence of '<@>' in the 'From:' field,,
CVE-2001-0634,Sun Chili!Soft ASP,, has weak permissions on various configuration files,,,
CVE-2001-0757,Cisco 6400 Access Concentrator Node Route Processor 2 (NRP2) 12.1DC card,, has not been set for vtys,, does not properly disable access when a password,
CVE-2001-0904,Internet Explorer 5.5 and 6 with the Q312461 (MS01-055) patch modifies the HTTP_USER_AGENT (UserAgent) information that indicates that the patch,, has been installed,,,
CVE-2001-1241,Un-CGI 1.9 and earlier,, has the execution bits set before executing it,, does not verify that a CGI script,
