CVE-1999-0018,Buffer overflow in statd,, allows root privileges.,,,
CVE-1999-0049,Csetup under IRIX,, allows arbitrary file creation or overwriting.,,,
CVE-1999-0055,Buffer overflows in Sun libnsl,, allow root access.,,,
CVE-1999-0057,Vacation program,, allows command execution by remote users through a sendmail command.,,,
CVE-1999-0058,"Buffer overflow in PHP cgi program, php.cgi",, allows shell access.,,,
CVE-1999-0067,phf CGI program,, allows remote command execution through shell metacharacters.,,,
CVE-1999-0077,Predictable TCP sequence numbers,, allow spoofing.,,,
CVE-1999-0082,CWD ~root command in ftpd,, allows root access.,,,
CVE-1999-0101,"Buffer overflow in AIX and Solaris """"gethostbyname"""" library call",, allows root access through corrupt DNS host names.,,,
CVE-1999-0105,finger,, allows recursive searches ,by using a long string of @ symbols.,,
CVE-1999-0106,Finger redirection,, allows finger bombs.,,,
CVE-1999-0108,The printers program in IRIX,, has a buffer overflow that gives root access to local users.,,,
CVE-1999-0113,Some implementations of rlogin,, allow root access if given a -froot parameter.,,,
CVE-1999-0126,SGI IRIX buffer overflow in xterm and Xaw,, allows root access.,,,
CVE-1999-0147,The aglimpse CGI program of the Glimpse package,, allows remote execution of arbitrary commands.,,,
CVE-1999-0148,The handler CGI program in IRIX,, allows arbitrary command execution.,,,
CVE-1999-0150,The Perl fingerd program,, allows arbitrary command execution from remote users.,,,
CVE-1999-0152,The DG/UX finger daemon,, allows remote command execution through shell metacharacters.,,,
CVE-1999-0156,wu-ftpd FTP daemon,, allows any user and password combination.,,,
CVE-1999-0172,FormMail CGI program,, allows remote execution of commands.,,,
CVE-1999-0227,Access violation in LSASS.EXE (LSA/LSARPC) program in Windows NT,, allows a denial of service.,,,
CVE-1999-0240,Some filters or firewalls,, allow fragmented SYN packets with IP reserved bits in violation of their implemented policy.,,,
CVE-1999-0244,Livingston RADIUS code,, has a buffer overflow which can allow remote execution of commands as root.,,,
CVE-1999-0252,Buffer overflow in listserv,, allows arbitrary command execution.,,,
CVE-1999-0255,Buffer overflow in ircd,, allows arbitrary command execution.,,,
CVE-1999-0256,Buffer overflow in War FTP,, allows remote execution of commands.,,,
CVE-1999-0260,The jj CGI program,, allows command execution,via shell metacharacters.,,
CVE-1999-0261,Netmanager Chameleon SMTPd,, has several buffer overflows that cause a crash.,,,
CVE-1999-0266,The info2www CGI script,, allows remote file access or remote command execution.,,,
CVE-1999-0267,Buffer overflow in NCSA HTTP daemon v1.3,, allows remote command execution.,,,
CVE-1999-0276,mSQL v2.0.1 and below,, allows remote execution through a buffer overflow.,,,
CVE-1999-0279,Excite for Web Servers (EWS),, allows remote command execution,via shell metacharacters.,,
CVE-1999-0332,Buffer overflow in NetMeeting,, allows denial of service and remote command execution.,,,
CVE-1999-0333,HP OpenView Omniback,, allows remote execution of commands as root,via a symlink attack.,,
CVE-1999-0352,ControlIT 4.5 and earlier (aka Remotely Possible),, has weak password encryption.,,,
CVE-1999-0358,Digital Unix 4.0,, has a buffer overflow in the inc program of the mh package.,,,
CVE-1999-0361,"NetWare version of LaserFiche stores usernames and passwords unencrypted, and",, allows administrative changes without logging.,,,
CVE-1999-0363,SuSE 5.2 PLP lpc program,, has a buffer overflow that leads to root compromise.,,,
CVE-1999-0365,The metamail package,, allows remote command execution using shell metacharacters that are not quoted in a mailcap entry.,,,
CVE-1999-0369,The Sun sdtcm_convert calendar utility for OpenWindows,, has a buffer overflow which can gain root access.,,,
CVE-1999-0370,"In Sun Solaris and SunOS, man and catman contain vulnerabilities that",, allow overwriting arbitrary files.,,,
CVE-1999-0383,ACC Tigris,, allows public access without a login.,,,
CVE-1999-0404,Buffer overflow in the Mail-Max SMTP server for Windows systems,, allows remote command execution.,,,
CVE-1999-0407,"By default, IIS 4.0",," has a virtual directory /IISADMPWD which contains files that can be used as proxies for brute force password attacks, or to identify valid users on the system.",,,
CVE-1999-0426,The default permissions of /dev/kmem in Linux versions before 2.0.36,, allows IP spoofing.,,,
CVE-1999-0440,The byte code verifier component of the Java Virtual Machine (JVM),, allows remote execution through malicious web pages.,,,
CVE-1999-0452,A service or application,, has a backdoor password that was placed there by the developer.,,,
CVE-1999-0501,A Unix account,, has a guessable password.,,,
CVE-1999-0502,A Unix account,," has a default, null, blank, or missing password.",,,
CVE-1999-0503,A Windows NT local user or administrator account,, has a guessable password.,,,
CVE-1999-0504,A Windows NT local user or administrator account,," has a default, null, blank, or missing password.",,,
CVE-1999-0505,A Windows NT domain user or administrator account,, has a guessable password.,,,
CVE-1999-0506,A Windows NT domain user or administrator account,," has a default, null, blank, or missing password.",,,
CVE-1999-0507,"An account on a router, firewall, or other network device",, has a guessable password.,,,
CVE-1999-0508,"An account on a router, firewall, or other network device",," has a default, null, blank, or missing password.",,,
CVE-1999-0510,A router or firewall,, allows source routed packets from arbitrary hosts.,,,
CVE-1999-0512,A mail server is explicitly configured to,," allow SMTP mail relay, which allows abuse by spammers.",,,
CVE-1999-0515,An unrestricted remote trust relationship for Unix systems,," has been set up, e.g. ",by using a + sign in /etc/hosts.equiv.,,
CVE-1999-0532,A DNS server,, allows zone transfers.,,,
CVE-1999-0547,An SSH server,, allows authentication through the .rhosts file.,,,
CVE-1999-0555,"A Unix account with a name other than """"root""""",," has UID 0, i.e. root privileges.",,,
CVE-1999-0561,IIS,, has the #exec function enabled for Server Side Include (SSI) files.,,,
CVE-1999-0569,A URL for a WWW directory,," allows auto-indexing, which provides a list of all files in that directory if it does not contain an index.html file.",,,
CVE-1999-0580,The HKEY_LOCAL_MACHINE key in a Windows NT system,," has inappropriate, system-critical permissions.",,,
CVE-1999-0581,The HKEY_CLASSES_ROOT key in a Windows NT system,," has inappropriate, system-critical permissions.",,,
CVE-1999-0585,A Windows NT administrator account,, has the default name of Administrator.,,,
CVE-1999-0663,"A system-critical program, library, or file",, has a checksum or other integrity measurement that indicates that it has been modified.,,,
CVE-1999-0677,The WebRamp web administration utility,, has a default password.,,,
CVE-1999-0699,The Bluestone Sapphire web server,, allows session hijacking,via easily guessable session IDs.,,
CVE-1999-0747,Denial of service in BSDi Symmetric Multiprocessing (SMP),, has a high CPU load.,, when an fstat call is made when the system,
CVE-1999-0755,Windows NT RRAS and RAS clients cache a user's password even if the user,," has not selected the """"Save password"""" option.",,,
CVE-1999-0819,NTMail,, has explicitly disabled it.,," does not disable the VRFY command, even if the administrator",
CVE-1999-0822,Buffer overflow in Qpopper (qpop) 3.0,, allows remote root access,via AUTH command.,,
CVE-1999-0827,"By default, Internet Explorer 5.0 and other versions enables the """"Navigate sub-frames across different domains"""" option, which",, allows frame spoofing.,,,
CVE-1999-0954,WWWBoard,, has a default username and default password.,,,
CVE-1999-1264,WebRamp M3 router,, has been explicitly disabled.,," does not disable remote telnet or HTTP access to itself, even when access",
CVE-1999-1558,Vulnerability in loginout in Digital OpenVMS 7.1 and earlier,, allows unauthorized access when external authentication is enabled.,,,
CVE-2000-0034,"Netscape 4.7 records user passwords in the preferences.js file during an IMAP or POP session, even if the user",," has not enabled """"remember passwords.""""",,,
CVE-2000-0138,A system,," has a distributed denial of service (DDOS) attack master, agent, or zombie installed, such as (1) Trinoo, (2) Tribe Flood Network (TFN), (3) Tribe Flood Network 2000 (TFN2K), (4) stacheldraht, (5) mstream, or (6) shaft.",,,
CVE-2000-0225,The Pocsag POC32 program,, has been disabled.,," does not properly prevent remote users from accessing its server port, even if the option",
CVE-2000-0251,HP-UX 11.04 VirtualVault (VVOS) sends data to unprivileged processes via an interface that,, has multiple aliased IP addresses.,,,
CVE-2000-0379,The Netopia R9100 router,, has configured it to do so.,," does not prevent authenticated users from modifying SNMP tables, even if the administrator",
CVE-2000-0793,Norton AntiVirus 5.00.01C with the Novell Netware client,, has logged off of the system.,, does not properly restart the auto-protection service after the first user,
CVE-2000-1241,"Unspecified vulnerability in Haakon Nilsen simple, integrated publishing system (SIPS) before 0.2.4",," has an unknown impact and attack vectors, related to a """"grave security fault.""""",,,
CVE-2001-0273,pgp4pine Pine/PGP interface version 1.75-6,, has expired when obtaining the keys,"via Gnu Privacy Guard (GnuPG), which causes the message to be sent in cleartext.", does not properly check to see if a public key,
CVE-2001-0380,Crosscom/Olicom XLT-F running XL 80 IM Version 5.5 Build Level 2,, allows a remote attacker SNMP read and write access,"via a default, undocumented community string 'ILMI'.",,
CVE-2001-0477,Vulnerability in WebCalendar 0.9.26,, allows remote command execution.,,,
CVE-2001-0865,Cisco 12000 with IOS 12.0 and line cards based on Engine 2,, allow fragmented packets in violation of the intended access.,," does not support the """"fragment"""" keyword in an outgoing ACL, which could",
CVE-2001-0969,ipfw in FreeBSD,, allow connections from arbitrary remote hosts.,," does not properly handle the use of """"me"""" in its rules when point to point interfaces are used, which causes ipfw to",
CVE-2001-1594,GE Healthcare eNTEGRA P&R,," has a password of (1) entegra for the entegra user, (2) passme for the super user of the Polestar/Polestar-i Starlink 4 upgrade, (3) 0 for the entegra user of the Codonics printer FTP service, (4) eNTEGRA for the eNTEGRA P&R user account, (5) insite for the WinVNC Login, and possibly other accounts, which has unspecified impact and attack vectors.  NOTE: it is not clear whether this password is default, hardcoded, or dependent on another system or product that requires a fixed value.",,,
